timestamp,id,estado,pos_x,pos_y,evento
29628120,1,MANUAL,0,0,INFO
29628140,1,MANUAL,0,0,INFO
29628191,1,MANUAL,0,0,INFO
29628242,1,MANUAL,0,0,INFO
29628293,1,MANUAL,0,0,INFO
29628343,1,MANUAL,0,0,INFO
29628394,1,MANUAL,0,0,INFO
29628445,1,MANUAL,0,0,INFO
29628495,1,MANUAL,0,0,INFO
29628550,1,MANUAL,0,0,INFO
29628597,1,MANUAL,0,0,INFO
29628650,1,MANUAL,0,0,INFO
29628699,1,MANUAL,0,0,INFO
29628760,1,MANUAL,0,0,INFO
29628801,1,MANUAL,0,0,INFO
29628852,1,MANUAL,0,0,INFO
29628902,1,MANUAL,0,0,INFO
29628953,1,MANUAL,0,0,INFO
29629004,1,MANUAL,0,0,INFO
29629055,1,MANUAL,0,0,INFO
29629106,1,MANUAL,0,0,INFO
29629156,1,MANUAL,0,0,INFO
29629207,1,MANUAL,0,0,INFO
29629260,1,MANUAL,0,0,INFO
29629309,1,MANUAL,0,0,INFO
29629360,1,MANUAL,0,0,INFO
29629411,1,MANUAL,0,0,INFO
29629463,1,MANUAL,0,0,INFO
29629514,1,MANUAL,0,0,INFO
29629565,1,MANUAL,0,0,INFO
29629616,1,MANUAL,0,0,INFO
29629667,1,MANUAL,0,0,INFO
29629720,1,MANUAL,0,0,INFO
29629780,1,MANUAL,0,0,INFO
29629821,1,MANUAL,0,0,INFO
29629872,1,MANUAL,0,0,INFO
29629923,1,MANUAL,0,0,INFO
29629975,1,MANUAL,0,0,INFO
29630025,1,MANUAL,0,0,INFO
29630076,1,MANUAL,0,0,INFO
29630127,1,MANUAL,0,0,INFO
29630177,1,MANUAL,0,0,INFO
29630228,1,MANUAL,0,0,INFO
29630279,1,MANUAL,0,0,INFO
29630330,1,MANUAL,0,0,INFO
29630381,1,MANUAL,0,0,INFO
29630432,1,MANUAL,0,0,INFO
29630483,1,MANUAL,0,0,INFO
29630534,1,MANUAL,0,0,INFO
29630585,1,MANUAL,0,0,INFO
29630635,1,MANUAL,0,0,INFO
29630688,1,MANUAL,0,0,INFO
29630738,1,MANUAL,0,0,INFO
29630789,1,MANUAL,0,0,INFO
29630840,1,MANUAL,0,0,INFO
29630892,1,MANUAL,0,0,INFO
29630942,1,MANUAL,0,0,INFO
29630993,1,MANUAL,0,0,INFO
29631044,1,MANUAL,0,0,INFO
29631095,1,MANUAL,0,0,INFO
29631145,1,MANUAL,0,0,INFO
29631196,1,MANUAL,0,0,INFO
29631246,1,MANUAL,0,0,INFO
29631298,1,MANUAL,0,0,INFO
29631349,1,MANUAL,0,0,INFO
29631410,1,MANUAL,0,0,INFO
29631451,1,MANUAL,0,0,INFO
29631502,1,MANUAL,0,0,INFO
29631553,1,MANUAL,0,0,INFO
29631604,1,MANUAL,0,0,INFO
29631655,1,MANUAL,0,0,INFO
29631706,1,MANUAL,0,0,INFO
29631758,1,MANUAL,0,0,INFO
29631808,1,MANUAL,0,0,INFO
29631859,1,MANUAL,0,0,INFO
29631910,1,MANUAL,0,0,INFO
29631961,1,MANUAL,0,0,INFO
29632012,1,MANUAL,0,0,INFO
29632063,1,MANUAL,0,0,INFO
29632115,1,MANUAL,0,0,INFO
29632166,1,MANUAL,0,0,INFO
29632216,1,MANUAL,0,0,INFO
29632267,1,MANUAL,0,0,INFO
29632318,1,MANUAL,0,0,INFO
29632369,1,MANUAL,0,0,INFO
29632420,1,MANUAL,0,0,INFO
29632480,1,MANUAL,0,0,INFO
29632521,1,MANUAL,0,0,INFO
29632572,1,MANUAL,0,0,INFO
29632623,1,MANUAL,0,0,INFO
29632674,1,MANUAL,0,0,INFO
29632725,1,MANUAL,0,0,INFO
29632776,1,MANUAL,0,0,INFO
29632826,1,MANUAL,0,0,INFO
29632877,1,MANUAL,0,0,INFO
29632928,1,MANUAL,0,0,INFO
29632979,1,MANUAL,0,0,INFO
29633030,1,MANUAL,0,0,INFO
29633081,1,MANUAL,0,0,INFO
29633131,1,MANUAL,0,0,INFO
29633182,1,MANUAL,0,0,INFO
29633233,1,MANUAL,0,0,INFO
29633283,1,MANUAL,0,0,INFO
29633334,1,MANUAL,0,0,INFO
29633385,1,MANUAL,0,0,INFO
29633436,1,MANUAL,0,0,INFO
29633487,1,MANUAL,0,0,INFO
29633538,1,MANUAL,0,0,INFO
29633588,1,MANUAL,0,0,INFO
29633639,1,MANUAL,0,0,INFO
29633690,1,MANUAL,0,0,INFO
29633741,1,MANUAL,0,0,INFO
29633791,1,MANUAL,0,0,INFO
29633842,1,MANUAL,0,0,INFO
29633893,1,MANUAL,0,0,INFO
